A couple play in the tide with their young son.	The family is outside.	1
A man and a woman cross the street in front of a pizza and gyro restaurant.	The people are standing still on the curb.	0
A man and a woman cross the street in front of a pizza and gyro restaurant.	Near a couple of restaurants, two people walk across the street.	1
A woman in a green jacket and hood over her head looking towards a valley.	The woman is nake.	0
A woman in a green jacket and hood over her head looking towards a valley.	The woman is wearing green.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	They are protesting outside the capital.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	A woman in white.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	A man is advertising for a restaurant.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	The woman is wearing black.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	The woman is wearing white.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	Olympic swimming.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	A man and a soman are eating together at John's Pizza and Gyro.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	They are walking with a sign.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	The woman and man are outdoors.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Two adults run across the street to get away from a red shirted person chasing them.	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	The adults are both male and female.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Two adults swimming in water	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Two adults walk across a street.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Two people ride bicycles into a tunnel.	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Two people walk away from a restaurant across a street.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Some people board a train.	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Two adults walk across the street.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	Two adults walking across a road	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	There are no women in the picture.	0
A woman wearing all white and eating, walks next to a man holding a briefcase.	A married couple is sleeping.	0
A woman wearing all white and eating, walks next to a man holding a briefcase.	A female is next to a man.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	Nobody has food.	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	A woman eats a banana and walks across a street, and there is a man trailing behind her.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	The woman and man are playing baseball together.	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	A person eating.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a woman eating a banana crosses a street	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a woman sits for lunch	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the woman is having coffee at the cafe	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	The woman is eating a banana.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the woman is outside	1
A skier slides along a metal rail.	A skier is near the rail.	1
A skier slides along a metal rail.	A skier is away from the rail.	0
A person on skis on a rail at night.	The woman eats a car	0
A person on skis on a rail at night.	The person skiis	1
A skier in electric green on the edge of a ramp made of metal bars.	The brightly dressed skier slid down the race course.	1
A skier in electric green on the edge of a ramp made of metal bars.	The jogger ran through the streets.	0
A yellow uniformed skier is performing a trick across a railed object.	A snowboarder is riding a ski lift.	0
A yellow uniformed skier is performing a trick across a railed object.	Somebody is engaging in winter sports.	1
A blond man is drinking from a public fountain.	The man is drinking water.	1
A blond man is drinking from a public fountain.	The man is drinking coffee.	0
Wet brown dog swims towards camera.	The dog is sleeping in his bed.	0
Wet brown dog swims towards camera.	A dog is in the water.	1
Closeup image of a dog swimming.	A cat reluctantly takes a bath.	0
Closeup image of a dog swimming.	A dog swims in a body of water.	1
The furry brown dog is swimming in the ocean.	A dog is swimming.	1
The furry brown dog is swimming in the ocean.	A dog is running around the yard.	0
A big brown dog swims towards the camera.	A dog is chasing a stick.	0
A big brown dog swims towards the camera.	A dog swims towards the camera.	1
A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.	The man with the gray hat and pitchfork is directing the cart.	1
A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.	The woman in a blue dress is hitching a horse to a cart.	0
A man is leading a Clydesdale up a hay road, within a Old Country.	A man is walking with his horse up a country road.	1
A man is leading a Clydesdale up a hay road, within a Old Country.	A woman in a gray business suit is drinking tea.	0
A farmer fertilizing his garden with manure with a horse and wagon.	The man is fertilizering his garden.	1
A farmer fertilizing his garden with manure with a horse and wagon.	The man is on the city street with his horse and wagon.	0
A white horse is pulling a cart while a man stands and watches.	An animal is walking outside.	1
A white horse is pulling a cart while a man stands and watches.	A man is watching a horse race.	0
A small group of church-goers watch a choir practice.	A group watches a practice.	1
A small group of church-goers watch a choir practice.	A choir performs in front of packed crowd.	0
A dog drops a red disc on a beach.	a dog catch the ball on a beach	0
A dog drops a red disc on a beach.	a dog drops a red disc	1
A man and a woman are walking on a street at the top of a hill.	A man and woman walk on a street.	1
A man and a woman are walking on a street at the top of a hill.	Two men play catch on a hill.	0
An elderly man is drinking orange juice at a cafe.	An elderly man is drinking apple juice at a bar.	0
An elderly man is drinking orange juice at a cafe.	An old man is enjoying a beverage at a cafe.	1
A couple holding hands walks down a street.	There are people sitting on the side of the road.	0
A couple holding hands walks down a street.	People are holding hands and walking.	1
A couple walk through a white brick town.	People are walking outdoors.	1
A couple walk through a white brick town.	A man and woman walk in a brown brick city.	0
Children going home from school.	The children are at the library.	0
Children going home from school.	The school children head home.	1
People listening to a choir in a Catholic church.	People are listening to a metal band.	0
People listening to a choir in a Catholic church.	Choir singing in mass.	1
Bicyclists waiting at an intersection.	A bicyclist is sitting down having lunch at the mall.	0
Bicyclists waiting at an intersection.	The bicyclists are outside.	1
Bicyclists waiting at an intersection.	The bicycles are on a road.	1
Bicyclists waiting at an intersection.	A person on a bike is near a street.	1
Bicyclists waiting at an intersection.	Bikers stop and wait for traffic at the intersection.	1
Bicyclists waiting at an intersection.	The bicyclists ride through the mall on their bikes.	0
Bicyclists waiting at an intersection.	Bicyclists waiting their turn to cross.	1
Bicyclists waiting at an intersection.	Bicyclists riding along a freeway.	0
Bicyclists waiting at an intersection.	The bicyclists are dead.	0
Bicyclists waiting at an intersection.	The bicyclists are at home.	0
People waiting at a light on bikes.	A bunch of friends are on a boat	0
People waiting at a light on bikes.	People with bikes.	1
People waiting at a light on bikes.	The people are inside waiting.	0
People waiting at a light on bikes.	There are some people outside.	1
People waiting at a light on bikes.	People are on their bikes.	1
People waiting at a light on bikes.	The people are on bikes.	1
People waiting at a light on bikes.	The people are running a red light.	0
People waiting at a light on bikes.	People in a car race.	0
People waiting at a light on bikes.	Men and women outside on a street corner.	1
People waiting at a light on bikes.	A ladybug has landed on a beautiful pink rose.	0
People on bicycles waiting at an intersection.	The people are on skateboards.	0
People on bicycles waiting at an intersection.	People are riding their bicycles.	1
People on bicycles waiting at an intersection.	People wait on traffic.	1
People on bicycles waiting at an intersection.	People are waiting on foot.	0
People on bicycles waiting at an intersection.	There are bicyclists stopped at a road.	1
People on bicycles waiting at an intersection.	The people are sleeping.	0
People on bicycles waiting at an intersection.	The people are waiting for the movie to begin.	0
People on bicycles waiting at an intersection.	More than one person on a bicycle is obeying traffic laws.	1
People on bicycles waiting at an intersection.	There are people on bicycles.	1
People on bicycles waiting at an intersection.	People on bicycles speed through an intersection.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	The cart is empty.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man is giving another man a piggyback ride.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A cart is full of items.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man is sleeping under a bench.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man watches another man.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	Someone is on top of a cart full of items, while someone else observes.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	The man is watching a woman.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man is standing on top of a cart.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	The cart is filled to the top.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man eats octopus.	0
A boy is drinking out of a water fountain shaped like a woman.	A male is getting a drink of water.	1
A boy is drinking out of a water fountain shaped like a woman.	A man is drinking lemonade from a glass.	0
three bikers stop in town.	Bikers stop in towns	1
three bikers stop in town.	A town has witnessed the arrival of three bikers.	1
three bikers stop in town.	Three bikers are going 100 mph	0
three bikers stop in town.	The bikers breathe water	0
three bikers stop in town.	Bikers stop for gas	1
three bikers stop in town.	There is a very angry dog.	0
three bikers stop in town.	The bikers are in the town.	1
three bikers stop in town.	A group of bikers are in the street.	1
three bikers stop in town.	The bikers didn't stop in the town.	0
three bikers stop in town.	Five bikers are riding on the road.	0
Two people loading brush on a trailer attached to a truck.	A man is carrying a canoe to the water.	0
Two people loading brush on a trailer attached to a truck.	A couple of people are loading brush onto a trailer that is attached to a truck.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a bearded man pulls a rope	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	A man pulls on a rope.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man pulls his beard	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a bearded man is pulling a car with his teeth.	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	The man was clean shaven.	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	A bearded man is pulling on a rope.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	A man in a swimsuit, swings on a rope.	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	A man is wearing a black shirt	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	A man is pulling on a rope.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	The man is able to grow a beard.	1
A man with facial hair and a red and gray shirt tugging on a piece of rope.	A man is naked on the bed.	0
A man with facial hair and a red and gray shirt tugging on a piece of rope.	A man has facial hair.	1
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.	The middle aged oriental woman is watchingt v	0
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.	A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile	1
An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.	An Asian woman is smiling at while another lady is rowing.	1
An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.	An Asian woman is running from a dog.	0
A boat worker securing line.	A worker is doing something to a boat.	1
A boat worker securing line.	The boat worker is swimming in the ocean.	0
A small girl with a necklace is swimming.	A fat girl is diving off the edge	0
A small girl with a necklace is swimming.	A small girl with a necklace is in the water	1
a skateboarder skates in the pool.	A skate swims in the pool.	0
a skateboarder skates in the pool.	A skater is in the pool.	1
A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization "Save the Children."	A man is wrapped in a UNICEF blanket.	0
A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization "Save the Children."	A couple carrying a child are walking along water.	1
There is a woman holding a baby, along with a man with a save the children bag.	A group of people are possing for an add.	1
There is a woman holding a baby, along with a man with a save the children bag.	A man is watching an airplane.	0
A family with a baby, the father is wearing a save the children sign.	Three adults are pictured.	0
A family with a baby, the father is wearing a save the children sign.	A man is wearing something with writing on it.	1
A foreign family is walking along a dirt path next to the water.	they are riding a bike	0
A foreign family is walking along a dirt path next to the water.	A foreign family walks by a dirt trail along a body of water.	1
A foreign family is walking along a dirt path next to the water.	The family is admiring the water	1
A foreign family is walking along a dirt path next to the water.	The people are driving a car on the freeway.	0
A foreign family is walking along a dirt path next to the water.	A family of foreigners swims in the water.	0
A foreign family is walking along a dirt path next to the water.	A group of locals run on a dirt trail next to a frozen stream.	0
A foreign family is walking along a dirt path next to the water.	A family of foreigners walks by the water.	1
A foreign family is walking along a dirt path next to the water.	A family walks along a dirt path.	1
A foreign family is walking along a dirt path next to the water.	A family plays board games at their dinner table.	0
A foreign family is walking along a dirt path next to the water.	There is a family taking a walk outside.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	People are looking at sculptures at a museum.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	There are people next to sculptures.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	People standing near sculptures	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	Three people are looking at painting at a school fair.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	Nobody is standing.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	A man and a woman are standing.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	The is a single sculpture.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	The man and woman are standing by a swimming pool.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	There are scultupres nearby.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	A man and a woman are sitting.	0
Group of young women in dresses strolling on the sidewalk.	all the young girls won the first prize	0
Group of young women in dresses strolling on the sidewalk.	there are some groups one of them of young females are in dresses strolling for a ramp walk	1
A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.	a man is photographing a man skateboarding.	1
A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.	a man is riding his scooter alone	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man is taking the picture of a skateboarder who is being taken by aliens.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	Photographers capture a male skateboarder performing tricks inside an abandoned building.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A woman is skateboarding with her boyfriend.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man is taking the picture of a skateboarder who is performing a trick.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man photographs a wedding.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man is taking photos of skateboarding tricks.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	People take photos outdoors while a man performs exciting skateboarding tricks.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man is photographing another man.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	Two men are going down a water slide.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man photographs a skateboarder doing tricks.	1
One biker is running with their bike while another is riding around them.	The people are driving cars	0
One biker is running with their bike while another is riding around them.	People have bikes	1
Two people with bicycles, one in front running with a bike and one in back riding.	Two people eating ice cream cones at the mall.	0
Two people with bicycles, one in front running with a bike and one in back riding.	One person running next to their bike with the person riding their bike behind them.	1
A young man doing a trick on a skateboard down the stairs while being photographed.	A young man roller blades across a ramp while being photographed.	0
A young man doing a trick on a skateboard down the stairs while being photographed.	A man being photographed while he does a trick on his skateboard down the stairs.	1
A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.	A lady with a serious face is standing with two guys in front of steps outside.	1
A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.	Three guys are standing indoors with flowers in their hands.	0
A man walking proudly down the street.	The man is in the theatre watching Avatar.	0
A man walking proudly down the street.	A man is outside.	1
Four teenage boys are doing cannonballs into a swimming pool.	A group of young men are splashing a lot of water.	1
Four teenage boys are doing cannonballs into a swimming pool.	Some boys are eating pizza in a restaurant.	0
Three men standing on grass by the water looking at something on a table.	The three men are outside.	1
Three men standing on grass by the water looking at something on a table.	The three men are indoors playing Foosball.	0
A woman stands behind an outdoor grill with a blue basket of food in her hands.	A woman standing behind a grill outside with a blue basket of food in her hands.	1
A woman stands behind an outdoor grill with a blue basket of food in her hands.	A woman holding a blue basket full of easter eggs outside of a church.	0
A Land Rover makes its way through a deep pond.	A car is in the shop.	0
A Land Rover makes its way through a deep pond.	A car drives through the water.	1
many people relax in the yard.	A group of people are outside.	1
many people relax in the yard.	People watch tv in their living room.	0
A car sinking in water.	A car is flooding.	1
A car sinking in water.	A truck drives down a country road in the sunshine.	0
A man wearing black is playing an electric guitar at a concert.	A man is playing the guitar.	1
A man wearing black is playing an electric guitar at a concert.	A man is playing the piano.	0
A man with wild hair rocks a show playing a guitar center stage.	The bald man played the drums.	0
A man with wild hair rocks a show playing a guitar center stage.	A guy stands on stage with his guitar.	1
woman and child on trolley car labeled Powell and market and bay and taylor	The woman is on a trolley.	1
woman and child on trolley car labeled Powell and market and bay and taylor	The woman and child are on a subway train.	0
Two female medical professionals, one african american& one white, looking over paperwork in a hospital.	Coworkers left work and are driving to lunch.	0
Two female medical professionals, one african american& one white, looking over paperwork in a hospital.	There are people at work.	1
Two ladies are reading through binders.	The girls are watching a movie.	0
Two ladies are reading through binders.	Some women are reading.	1
A man in the distance is walking past a brick wall painted with words and graffiti.	A man sits and reads the graffiti on a wall.	0
A man in the distance is walking past a brick wall painted with words and graffiti.	Grafffiti on a brick wall.	1
A woman and a child holding on to the railing while on trolley.	The people are not holding onto anything.	0
A woman and a child holding on to the railing while on trolley.	The people are holding onto the rail.	1
A man in a striped polo shirt is pointing and smiling.	The man is swimming	0
A man in a striped polo shirt is pointing and smiling.	The man seems happy	1
A guy performing a bicycle jump trick for an audience.	tony hawk is performing a skating trick	0
A guy performing a bicycle jump trick for an audience.	a guy is performing a bike trick	1
A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.	The woman is wearing a coat.	1
A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.	The woman loves her blonde hair.	0
Two children play outside in a field.	Kids are playing outdoors.	1
Two children play outside in a field.	Two children are reading at their desks.	0
One man sits inside and plays the banjo, there are trees behind him outside.	A man runs outside.	0
One man sits inside and plays the banjo, there are trees behind him outside.	A male sitting indoors.	1
Two children, in colorful outfits, playing in a field with a big rock in the middle.	Don't play with rocks	0
Two children, in colorful outfits, playing in a field with a big rock in the middle.	Two kids are playing with a big rock in the field	1
Two young girls are playing outside in a non-urban environment.	Two girls are playing outside.	1
Two young girls are playing outside in a non-urban environment.	Some girls are running on the sidewalk, next to some parked cars.	0
Two children in hats play in an open, rocky field.	The children are at home eating lunch.	0
Two children in hats play in an open, rocky field.	The children are playing in a rocky field.	1
A woman wearing a green and pink dress is dancing with someone wearing a blue top with white pants.	The woman in green and pink is dancing.	1
A woman wearing a green and pink dress is dancing with someone wearing a blue top with white pants.	The dancing woman is alone in her bedroom.	0
Man in gold pants looking at the camera.	Man looking at the camera.	1
Man in gold pants looking at the camera.	Man is walking away to the hall.	0
A man in a gold skirt sits in front of the computer.	A man in a gold skirt sitting at his computer watching the computer screen.	1
A man in a gold skirt sits in front of the computer.	A man in blue pants sitting and watching the television.	0
Man wearing black t-shirt sitting at a computer desk.	the man is working on the computer	1
Man wearing black t-shirt sitting at a computer desk.	the man called off work and was at the zoo all day	0
A bearded man in a black t-shirt sits in front of a desk holding a computer.	A man is standing in the rain.	0
A bearded man in a black t-shirt sits in front of a desk holding a computer.	A man waiting with his computer.	1
A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.	a man is looking at his webcam	1
A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.	a man is sticking his tongue out	0
A young girl sitting at a table with a bowl on her head	A young girl has a bowl on her head	1
A young girl sitting at a table with a bowl on her head	A man is eating cereal in his car	0
A man dances with a fire baton at night.	the woman does a hula dance	0
A man dances with a fire baton at night.	the man is dancing	1
A doctor checks the stomach of a toddler.	The toddler is getting a checkup.	1
A doctor checks the stomach of a toddler.	The doctor is looking inside the toddler's mouth.	0
Young blond woman putting her foot into a water fountain	A young blond woman is sitting down on a beach chair.	0
Young blond woman putting her foot into a water fountain	A person is dipping her foot into water.	1
A young woman tries to stick her foot in a fountain.	The woman is riding a train.	0
A young woman tries to stick her foot in a fountain.	A woman is near a fountain.	1
A young woman tries to stick her foot in a fountain.	The woman has one foot in the air.	1
A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.	A woman is walking in park	0
A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.	A woman is like to touch the water in fountain	1
Woman balancing on edge of fountain while sticking her toe in the water.	A woman stand on a fountain and dips her toes in.	1
Woman balancing on edge of fountain while sticking her toe in the water.	A woman sits on the grassy ground.	0
A couple strolls arm and arm and hand in hand down a city sidewalk.	The couple is outdoors.	1
A couple strolls arm and arm and hand in hand down a city sidewalk.	The couple is having dinner at a restaurant.	0
A man stare at a passing couple while walking down the block.	A man stares at a passing couple.	1
A man stare at a passing couple while walking down the block.	The woman stares at a couple as they argue down the block.	0
a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.	couple walking	1
a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.	bear in zoo	0
A man and a woman are holding hands as they walk along a city sidewalk.	A married couple are fighting on the sidewalk.	0
A man and a woman are holding hands as they walk along a city sidewalk.	A man and a woman are holding hands.	1
a man in red stands with his child at the beach.	A man wearing blue sleeping with his child in his lap inside his home.	0
New sport is being played to show appreciation to the kids who can not walk.	People are playing a sport in honor of crippled people.	1
New sport is being played to show appreciation to the kids who can not walk.	People are playing football without gear.	0
Two men in wheelchairs are reaching in the air for a basketball.	Two people in wheelchairs are reaching in the air for a basketball.	1
Two men in wheelchairs are reaching in the air for a basketball.	Two women in wheelchairs are reaching in the air for a basketball.	0
Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.	Three wheelchair basketball players playing basketball in field.	1
Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.	A peoples are taking coffee together at coffeshop.	0
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.	Four guys are playing cards.	0
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.	Four guys are playing basketball.	1
Three dogs in different shades of brown and white biting and licking each other.	the dogs are fighting	0
Three dogs in different shades of brown and white biting and licking each other.	there are three dogs	1
Two dogs playfully bite a third dog, which has its tongue sticking out.	Two dogs are sleeping while a third eats its food.	0
Two dogs playfully bite a third dog, which has its tongue sticking out.	A pair of dogs tease a third with nibbles.	1
Three small puppies bite and play together in the grass.	The puppies are sleeping in a basket.	0
Three small puppies bite and play together in the grass.	Three puppies are playing outside.	1
Two dogs biting another dog in a field.	dogs attacking another dog	1
Two dogs biting another dog in a field.	dog sitting in filed	0
Tourists waiting at a train stop.	Tourist walking around an art museum.	0
Tourists waiting at a train stop.	A group of tourist waiting for a train at a train station.	1
A doctor in blue scrubs is performing an operation assisted by two men and a woman.	a old man was talking	1
A doctor in blue scrubs is performing an operation assisted by two men and a woman.	the boys were angry	0
A woman with a black jacket walks past an outdoor movie poster.	A woman walking outside.	1
A woman with a black jacket walks past an outdoor movie poster.	A woman is cleaning up.	0
A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.	A man stands.	1
A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.	My love's like a red, red wig.	0
Indian lady and a guy in a blue suit dancing in the sunlight.	A woman eats a pickle.	0
Indian lady and a guy in a blue suit dancing in the sunlight.	Two people dancing outdoors.	1
Two older men are talking.	Two people are having a conversation.	1
Two older men are talking.	A crowd is talking over each other.	0
A mountain biker jumping a slope outdoors in a forest area.	A biker is doing jumps by trees.	1
A mountain biker jumping a slope outdoors in a forest area.	They aren't on bikes.	0
A mountain biker jumping a slope outdoors in a forest area.	The biker is jumping into a hole.	1
